date,sku,scent_name,rating,scent_strength,scent_appeal,cleaning_power,cap_pouring
2026-06-11,GH,Golden Hour,5.0,0.0,5.0,5.0,5.0
2026-06-10,DP,Desert Poppy,4.0,0.5,3.0,4.0,4.0
2026-06-10,AW,Alpine Woods,5.0,0.0,5.0,5.0,4.0
2026-06-10,CZ,Signature Cozy,1.0,1.0,1.0,4.0,3.0
2026-06-10,CZ,Signature Cozy,5.0,0.0,4.0,4.0,2.0
2026-06-10,VM,Vanilla Moon,5.0,0.0,5.0,5.0,5.0
2026-06-10,CC,Central Coast,4.0,-0.5,5.0,4.0,4.0
2026-06-10,DP,Desert Poppy,5.0,0.0,4.0,4.0,4.0
2026-06-10,VM,Vanilla Moon,4.0,0.0,5.0,3.0,3.0
2026-06-09,CC,Central Coast,1.0,-1.0,2.0,3.0,1.0
2026-06-09,GH,Golden Hour,5.0,0.0,5.0,4.0,3.0
2026-06-09,AW,Alpine Woods,5.0,0.0,4.0,4.0,3.0
2026-06-09,CZ,Signature Cozy,5.0,0.0,5.0,4.0,3.0
2026-06-09,DP,Desert Poppy,3.0,-1.0,3.0,3.0,2.0
2026-06-09,AW,Alpine Woods,5.0,0.0,5.0,5.0,4.0
2026-06-08,CZ,Signature Cozy,5.0,0.5,5.0,5.0,5.0
2026-06-08,MM,Malibu Mornings,5.0,0.0,5.0,5.0,4.0
2026-06-08,CZ,Mozi Wash Detergent,3.0,-1.0,3.0,4.0,4.0
2026-06-08,CZ,1 Pack,5.0,0.0,5.0,5.0,5.0
2026-06-08,FC,Free and Clear,5.0,0.0,3.0,3.0,3.0
2026-06-08,DP,Desert Poppy,5.0,0.0,5.0,5.0,5.0
2026-06-08,VM,Vanilla Moon,5.0,0.0,5.0,5.0,5.0
2026-06-08,CZ,Signature Cozy,3.0,-0.5,5.0,5.0,3.0
2026-06-08,CZ,Signature Cozy,5.0,0.0,5.0,5.0,3.0
2026-06-08,SD,Sugar Dew,5.0,-0.5,5.0,5.0,3.0
2026-06-08,AW,1 Pack,5.0,0.0,5.0,5.0,4.0
2026-06-08,AW,Alpine Woods,5.0,0.0,5.0,5.0,5.0
2026-06-08,GH,Golden Hour,2.0,-1.0,5.0,4.0,4.0
2026-06-08,GH,Golden Hour,5.0,0.5,5.0,5.0,3.0
2026-06-08,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-08,GH,Golden Hour,5.0,0.0,5.0,5.0,4.0
2026-06-08,CZ,Signature Cozy,5.0,-0.5,5.0,5.0,4.0
2026-06-07,GH,Golden Hour,5.0,0.0,5.0,5.0,5.0
2026-06-06,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-06-06,VM,Vanilla Moon,5.0,1.0,5.0,5.0,5.0
2026-06-06,CC,Central Coast,5.0,0.0,4.0,3.0,4.0
2026-06-06,VM,Vanilla Moon,5.0,0.0,5.0,3.0,4.0
2026-06-06,CZ,Signature Cozy,3.0,0.0,2.0,3.0,4.0
2026-06-06,SD,Sugar Dew,5.0,0.0,3.0,3.0,2.0
2026-06-05,AW,Mozi Wash Detergent,5.0,0.0,5.0,5.0,5.0
2026-06-05,CC,Central Coast,5.0,0.0,5.0,5.0,3.0
2026-06-04,CC,Central Coast,5.0,0.0,5.0,5.0,3.0
2026-06-04,AW,Alpine Woods,5.0,0.0,5.0,5.0,5.0
2026-06-04,DP,1 Pack,5.0,0.0,5.0,4.0,5.0
2026-06-04,GH,Golden Hour,4.0,0.5,4.0,5.0,5.0
2026-06-04,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-03,CC,Central Coast,5.0,0.0,5.0,4.0,5.0
2026-06-03,AW,Alpine Woods,5.0,0.0,5.0,5.0,1.0
2026-06-03,SD,Sugar Dew,5.0,0.0,5.0,5.0,1.0
2026-06-03,DP,Desert Poppy,4.0,-1.0,2.0,5.0,5.0
2026-06-03,CC,Central Coast,5.0,0.0,4.0,4.0,4.0
2026-06-03,MM,Malibu Mornings,5.0,0.0,5.0,5.0,4.0
2026-06-03,CZ,Signature Cozy,5.0,0.0,5.0,5.0,4.0
2026-06-03,CC,Central Coast,5.0,0.0,5.0,5.0,4.0
2026-06-03,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-03,AW,Alpine Woods,1.0,-0.5,1.0,3.0,2.0
2026-06-02,MM,Malibu Mornings,5.0,0.0,4.0,5.0,5.0
2026-06-02,GH,Golden Hour,4.0,0.0,5.0,3.0,2.0
2026-06-02,CZ,Signature Cozy,5.0,0.0,5.0,5.0,5.0
2026-06-02,MM,Malibu Mornings,2.0,-0.5,2.0,2.0,4.0
2026-06-02,CC,Central Coast,2.0,0.0,3.0,2.0,1.0
2026-06-02,CC,Central Coast,4.0,-0.5,5.0,4.0,5.0
2026-06-02,SD,Sugar Dew,3.0,-0.5,2.0,4.0,5.0
2026-06-02,CZ,Signature Cozy,5.0,0.0,4.0,4.0,2.0
2026-06-01,VM,Vanilla Moon,5.0,0.0,5.0,3.0,5.0
2026-06-01,DP,Desert Poppy,5.0,0.0,5.0,3.0,3.0
2026-06-01,GH,Golden Hour,5.0,0.0,5.0,5.0,4.0
2026-06-01,MM,Malibu Mornings,4.0,-1.0,5.0,5.0,4.0
2026-06-01,DP,Desert Poppy,5.0,0.0,4.0,4.0,4.0
2026-06-01,GH,Golden Hour,4.0,0.0,4.0,4.0,4.0
2026-06-01,GH,Golden Hour,5.0,0.0,3.0,4.0,1.0
2026-06-01,CZ,Signature Cozy,1.0,-1.0,4.0,3.0,3.0
2026-06-01,MM,Malibu Mornings,1.0,-1.0,4.0,3.0,5.0
2026-06-01,GH,Golden Hour,5.0,-1.0,5.0,5.0,5.0
2026-05-31,VM,Vanilla Moon,5.0,0.0,4.0,4.0,2.0
2026-05-31,CZ,Signature Cozy,2.0,-1.0,2.0,2.0,1.0
2026-05-31,CC,Central Coast,5.0,0.0,5.0,5.0,5.0
2026-05-31,DP,Desert Poppy,3.0,-0.5,3.0,4.0,2.0
2026-05-30,GH,Golden Hour,5.0,0.0,5.0,4.0,3.0
2026-05-30,HR,Hollywood Rouge,5.0,0.0,5.0,5.0,4.0
2026-05-30,HR,Hollywood Rouge,5.0,0.0,5.0,5.0,3.0
2026-05-29,CC,Central Coast,5.0,0.0,3.0,3.0,3.0
2026-05-29,AW,Alpine Woods,4.0,1.0,2.0,5.0,5.0
2026-05-29,SD,Sugar Dew,5.0,0.0,5.0,5.0,5.0
2026-05-29,VM,Vanilla Moon,5.0,0.0,3.0,3.0,1.0
2026-05-29,AW,Alpine Woods,5.0,0.0,5.0,5.0,3.0
2026-05-29,CZ,Signature Cozy,5.0,-0.5,5.0,5.0,4.0
2026-05-29,CZ,Signature Cozy,2.0,-1.0,2.0,4.0,1.0
2026-05-29,AW,Alpine Woods,5.0,0.0,5.0,5.0,5.0
2026-05-29,SD,Sugar Dew,1.0,-0.5,5.0,4.0,1.0
2026-05-28,CZ,Signature Cozy,5.0,0.5,5.0,5.0,5.0
